Evento,KE,px,py,pz,x,y,z
709,6.43409e+06,-0.686477,0.00483611,-0.727135,-477,-357.209,-56.9462,
711,2.28959e+06,0.194949,0.359476,0.912563,-67.6514,-208.142,477,
716,4.90891e+06,-0.586348,0.612623,-0.52999,-477,165.091,-335.65,
720,1.94424e+06,-0.714647,-0.546186,0.43699,-139.839,-477,-151.664,
722,0.0426257,-0.130041,-0.584986,0.80055,-24.9934,245.922,477,
725,2.99902e+06,0.766218,0.637324,-0.0820233,65.4384,477,-180.128,
732,34.2336,0.0153959,0.849299,-0.527688,-431.371,-213.795,-477,
733,5.43794e+06,-0.720957,0.268505,-0.638847,-477,293.261,-421.047,
734,0.0144948,0.290032,0.583419,-0.758619,-358.708,299.898,-477,
737,50080.8,0.708324,-0.487673,0.510345,477,-399.91,376.357,
750,0.289702,0.657326,0.65154,-0.378706,164.505,477,109.007,
753,6.59457e+06,0.0103384,-0.535231,-0.844643,-61.445,-69.9584,-477,
756,5.1064e+06,-0.846334,0.281617,0.452119,-477,53.271,369.886,
759,4013.58,0.353603,0.432303,0.829506,223.417,266.772,477,
760,763776,-0.0145518,-0.976102,0.216824,-58.6505,-477,-25.0523,
764,2.4911e+06,-0.582001,-0.759519,-0.290526,-169.599,-477,-350.195,
767,0.116639,0.401461,-0.302785,-0.864378,477,-157.045,-308.746,
774,2.73697e+06,0.528606,0.26021,0.808002,313.594,153.184,477,
778,5.81772e+06,-0.546267,-0.250453,-0.799291,-327.471,-148.671,-477,
782,3.77211e+06,-0.826944,-0.485281,0.284017,-477,-92.7959,464.431,
789,3.04738,0.311601,0.472267,-0.824542,-112.128,17.9285,-477,
793,1.934e+06,-0.337797,0.938048,0.077191,-113.291,477,79.6505,
804,4.21292e+06,-0.775123,-0.359563,0.519518,-391.004,-477,176.801,
807,22992.9,-0.416192,-0.100341,-0.903723,-477,221.196,-179.244,
814,3.07496e+06,-0.882538,-0.0139917,-0.470032,-477,-9.33861,-255.16,
822,0.797814,-0.453164,-0.170819,-0.874907,-97.7543,-30.3248,-477,
826,0.0307779,-0.0679805,-0.799392,0.596951,-282.519,-342.256,477,
829,2.53263e+06,0.0979034,-0.962607,-0.252591,343.72,-477,-85.3201,
834,0.110757,0.418612,0.323934,0.848428,-280.082,-15.8419,477,
837,2.25581e+06,0.108464,0.14757,-0.983086,51.5178,69.8772,-477,
840,68864.4,-0.536855,0.31059,-0.784424,-477,286.397,-153.238,
851,180.321,0.974374,-0.195216,0.111742,477,-192.613,178.809,
852,400022,0.825447,-0.306579,-0.473969,3.79906,197.963,-477,
853,0.0467825,0.549908,0.627188,-0.551577,-36.1089,477,251.789,
857,7.29818e+06,0.350267,0.230683,0.907799,181.754,120.548,477,
864,1.05938e+06,0.886876,0.261492,0.380885,477,166.476,163.707,
867,54966.3,-0.982593,-0.181415,0.0399949,-477,121.817,157.682,
877,2.90656e+06,0.302631,0.938196,0.167936,477,-143.692,177.306,
878,195290,0.475995,0.191764,0.858286,391.129,-162.465,477,
881,0.00873354,-0.523757,0.375226,-0.764777,-17.7251,193.313,-477,
893,5.2665e+06,-0.588239,0.621407,0.517521,-449.655,477,399.249,
898,6.49063e+06,-0.349638,0.468641,-0.811251,-203.094,274,-477,
899,17.3279,-0.693118,0.676588,0.248628,227.891,477,46.4129,
900,6.1195e+06,-0.634297,0.195329,0.748007,-477,350.955,335.212,
909,6.42297e+06,0.249619,-0.873845,-0.417235,-343.639,-477,17.2928,
916,0.0228582,0.720849,0.649045,-0.24314,-136.696,477,-191.091,
917,0.0633109,0.301402,-0.839558,-0.451995,325.607,35.9576,-477,
919,0.0121402,0.734959,0.525646,0.428405,298.991,477,409.692,
920,6.3213e+06,0.363408,-0.331344,-0.870715,-100.014,195.103,-477,
921,3.03816e+06,-0.270039,0.783279,0.559958,188.405,403.657,477,
926,1.39658,-0.610628,-0.268619,-0.744968,-140.046,-48.3114,-477,
927,0.0697498,-0.901391,0.409737,0.140034,-477,-0.155886,109.414,
928,4.01865e+06,-0.254982,0.581981,-0.772193,-83.4842,477,-68.1429,
934,0.0121821,-0.0140658,0.252149,0.967586,80.3185,477,256.104,
935,0.0157272,0.501046,-0.773459,0.38822,-334.827,396.227,477,
936,343654,-0.837252,-0.361185,-0.410553,-477,-284.668,-116.747,
938,392261,-0.0058729,-0.933349,-0.358922,-122.004,-321.547,-477,
940,0.0332692,0.240155,0.488016,0.839146,477,306.032,150.574,
941,0.13177,0.472209,-0.650768,-0.594575,354.333,195.704,-477,
942,3.48088e+06,0.42866,0.653407,-0.623947,469.245,-48.0022,-477,
949,0.0157114,0.0359395,-0.523438,0.851305,400.663,-231.768,477,
950,1.6948e+06,-0.875639,-0.471104,-0.106384,-24.7432,-477,-140.028,
951,3.72884e+06,-0.0182472,0.997154,0.0731494,-4.13703,477,62.3164,
952,3.263e+06,-0.28326,0.193483,0.939323,-133.922,69.7546,477,
953,0.0644901,0.399856,0.783895,0.474998,118.727,477,181.508,
956,420752,0.654956,0.103004,0.748614,-288.499,415.153,477,
963,4.33332e+06,-0.133489,0.738153,-0.661295,-87.0397,477,-430.359,
970,3.79921e+06,0.761102,-0.336647,0.55443,477,-304.113,104.751,
973,2.71635e+06,0.503988,0.38907,0.771116,114.903,425.401,477,
974,0.0256493,0.503795,-0.0866163,-0.859469,128.067,-96.6281,-477,
977,1.10454,-0.289371,0.496272,-0.818522,228.577,74.1735,-477,
980,6.65384e+06,0.389015,0.865058,0.316766,90.9882,477,24.6357,
983,0.0158317,0.501751,0.322416,-0.802679,-48.2324,158.613,-477,
994,4.7802e+06,0.263234,0.878164,0.39942,140.73,477,218.81,
998,3.75967e+06,-0.992629,-0.102727,0.0643,-477,33.2724,-153.612,
1001,6.56184e+06,-0.922247,-0.34453,0.175384,-477,-180.658,89.8723,
1002,6.40556e+06,-0.534757,-0.644044,0.547031,-477,-351.664,388.445,
1004,2.12977e+06,0.96684,-0.212835,0.141144,477,-40.8717,-44.0363,
1006,9.48727e+06,0.774847,-0.387404,0.49953,477,-238.408,304.974,
1007,0.084409,-0.503189,-0.806623,0.310098,-477,-200.546,278.791,
1011,4.54307e+06,0.122703,0.586543,0.800569,275.647,477,387.862,
1013,0.0282784,0.178486,-0.773827,0.60773,332.467,-477,-278.29,
1014,613165,0.812923,-0.554066,0.179352,477,197.398,366.613,
1016,6048.19,0.491017,0.641109,0.589815,-120.879,477,255.74,
1017,3.34755e+06,-0.758669,-0.651455,0.00528422,-477,-411.935,4.78336,
1019,1.73146e+06,-0.543736,-0.285223,-0.789303,125.333,-47.7229,-477,
1022,246413,-0.364544,0.78598,0.499344,285.332,477,-272.929,
1025,5.80198e+06,-0.232636,0.0193076,-0.972372,-113.492,11.6784,-477,
1026,343279,-0.418594,0.545684,0.725953,-477,440.793,88.804,
1028,1.39698,0.497951,-0.673549,-0.546239,-190.279,130.509,-477,
1035,8.40029e+06,0.791484,0.220469,0.570041,477,221.094,205.293,
1036,5.35529e+06,0.96531,0.20335,0.163788,477,393.19,-67.5044,
1039,3.33666e+06,0.519586,-0.616871,0.591186,16.4836,-477,291.818,
1040,6.40619e+06,0.230186,0.59649,0.768905,140.286,371.401,477,
1044,1.2022e+06,0.60491,-0.0217546,0.795997,477,-284.968,231.04,
1048,4.77359e+06,-0.452598,0.558302,-0.695308,-311.767,382.047,-477,
1049,3.20201e+06,0.322592,0.742695,-0.586803,313.973,477,307.262,
1051,6.62823e+06,0.572708,-0.505775,0.645133,477,-406.446,442.683,
1053,5.18158e+06,0.0352591,0.739333,-0.672416,24.6279,477,-435.916,
1054,27091.7,0.0657452,0.926508,0.370486,157.78,477,97.0886,
1057,5.24724e+06,-0.999756,0.0189846,0.0112521,-477,-70.6646,-193.113,
1061,0.0268165,0.358504,0.870326,-0.337649,477,26.3948,-225.648,
1065,2954.17,-0.364684,0.906608,-0.212289,296.993,477,151.014,
1068,0.0161408,0.831872,0.427836,0.353475,-63.7208,477,-205.187,
1075,4.35721e+06,-0.944868,-0.322608,-0.0561054,-477,69.9538,-51.655,
1078,200571,0.202683,0.806463,-0.555462,128.46,-271.245,-477,
1090,390191,-0.112419,-0.428901,0.896329,-207.156,-158.627,477,
1091,14364.8,-0.754413,-0.390039,-0.52795,-477,-72.3849,67.0163,
1092,751693,0.875561,-0.0303549,0.482152,477,28.8651,-213.237,
1094,0.0139105,0.946962,-0.321033,-0.0142056,477,-156.915,10.4078,
1097,0.0257892,-0.640446,-0.0246742,-0.767607,-1.33205,103.219,-477,
1101,175.476,-0.15484,0.523604,-0.837773,45.2458,-73.0717,-477,
1104,0.0318153,-0.983997,0.0442503,-0.172605,-477,170.911,6.94788,
1109,3.16724e+06,0.421622,0.238317,0.874894,96.7424,398.717,477,
1111,4.83063e+06,0.821101,0.466101,-0.329457,477,271.298,-191.609,
1112,638.343,-0.581527,0.761911,-0.285163,1.04256,477,-392.462,
1118,0.104597,-0.652971,0.73452,0.184687,144.838,477,454.677,
1119,428333,0.432501,0.51926,-0.737097,184.285,477,-72.8362,
1120,0.0623552,-0.686742,-0.181038,-0.703996,-477,-150.267,-232.507,
1122,2.00208e+06,0.500558,-0.768924,0.397742,-158.095,-477,-271.816,
1123,6.31935e+06,0.301889,0.919668,-0.251145,321.674,477,-13.3018,
1124,2.14766e+06,0.971539,0.195457,0.133825,477,36.2161,-261.953,
1128,0.010426,0.831566,0.400986,0.384327,57.4074,477,400.119,
1129,7.00761e+06,0.950064,0.308217,-0.0487975,477,193.67,-353.467,
1130,1.14065e+06,0.802739,0.526431,-0.280144,477,154.701,-151.1,
