Energy,XS
364144.0,8.21684
364180.0,12.7345
364194.0,13.9181
364204.0,14.1749
364217.0,13.7396
364235.0,12.0416
364269.0,7.68342
364286.0,6.0824
364302.0,4.89368
364319.0,4.04265
364338.0,3.37989
364361.0,2.79861
364385.0,2.41112
364419.0,2.05147
364457.0,1.80088
364516.0,1.57507
364569.0,1.45507
364684.0,1.31705
364814.0,1.24385
365267.0,1.15005
366275.0,1.07337
369000.0,0.962045
369530.0,1.01406
369787.0,1.07604
369945.0,1.14995
370054.0,1.25133
370145.0,1.40636
370197.0,1.55459
370242.0,1.7569
370279.0,2.0349
370306.0,2.35571
370328.0,2.75041
370346.0,3.26746
370363.0,3.95693
370383.0,5.01598
370407.0,6.46674
370419.0,6.94248
370426.0,7.0107
370436.0,6.85195
370450.0,6.10399
370483.0,3.44886
370495.0,2.69809
370506.0,2.19778
370517.0,1.81834
370529.0,1.53763
370542.0,1.33113
370558.0,1.17627
370580.0,1.06038
370612.0,0.982833
370659.0,0.954715
370787.0,1.00489
371000.0,1.14038
371190.0,1.13014
371354.0,1.14948
371518.0,1.22854
371640.0,1.35416
371743.0,1.52842
371845.0,1.79919
371927.0,2.1175
371999.0,2.51458
372066.0,3.09563
372157.0,4.11081
372271.0,5.77637
372383.0,7.41274
372440.0,7.9318
372488.0,8.06872
372547.0,7.8314
372652.0,6.66964
372795.0,4.90316
372894.0,4.01313
372996.0,3.38417
373119.0,2.83445
373263.0,2.42656
373386.0,2.20238
373550.0,2.00928
373795.0,1.84319
373959.0,1.7745
374160.0,1.58014
374299.0,1.47079
374320.0,1.46852
374366.0,1.50015
374399.0,1.58026
374425.0,1.71097
374451.0,1.95137
374472.0,2.28818
374490.0,2.73751
374506.0,3.33526
374525.0,4.27992
374572.0,7.20941
374590.0,7.87495
374599.0,7.974
374613.0,7.82205
374636.0,6.98638
374679.0,5.10518
374706.0,4.23914
374734.0,3.61022
374769.0,3.08331
374812.0,2.65136
374863.0,2.31431
374932.0,2.02269
375020.0,1.79393
375138.0,1.6494
375310.0,1.53878
375661.0,1.44655
377345.0,1.2634
380232.0,1.08467
383670.0,0.944565
385507.0,0.833142
387000.0,0.687319
387152.0,0.709944
387228.0,0.753031
387266.0,0.813566
387289.0,0.894637
387304.0,0.992829
387315.0,1.13151
387323.0,1.29603
387330.0,1.50173
387337.0,1.82299
387344.0,2.27791
387352.0,2.89646
387361.0,3.9342
387377.0,6.05772
387386.0,6.82911
387394.0,7.15237
387394.0,7.1517
387403.0,6.88704
387411.0,6.11592
387433.0,3.39623
387441.0,2.61127
387448.0,2.08042
387455.0,1.71687
387462.0,1.44739
387470.0,1.23948
387481.0,1.08297
387496.0,0.952044
387511.0,0.879108
387536.0,0.813866
387584.0,0.752788
387701.0,0.70095
387722.0,0.696361
387743.0,0.710219
387754.0,0.752954
387762.0,0.835734
387769.0,0.967841
387777.0,1.17014
387786.0,1.53063
387801.0,2.12095
387809.0,2.30403
387814.0,2.33135
387821.0,2.25352
387830.0,1.97993
387848.0,1.30209
387856.0,1.09651
387863.0,0.953844
387872.0,0.849112
387884.0,0.7842
387903.0,0.749101
387941.0,0.727614
388410.0,0.653931
389572.0,0.488134
389830.0,0.47086
389991.0,0.476032
390046.0,0.448473
390162.0,0.379012
390266.0,0.339445
390346.0,0.329503
390407.0,0.337645
390467.0,0.36364
390532.0,0.412577
390592.0,0.483584
390653.0,0.583965
390726.0,0.74811
390798.0,0.975302
390871.0,1.27437
390952.0,1.70198
391018.0,2.15952
391132.0,3.21426
391360.0,5.50002
391489.0,6.45549
391618.0,6.92587
391683.0,6.98606
391863.0,6.73617
392493.0,4.65116
392832.0,3.85805
393219.0,3.23232
393703.0,2.70151
394091.0,2.40768
394833.0,2.09838
395866.0,1.84395
396593.0,1.71668
